gen: 261, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 262, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 263, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 264, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 265, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 266, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 267, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 268, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 269, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 270, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 271, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 272, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 273, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 274, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 275, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 276, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 277, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 278, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 279, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 280, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 281, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 282, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 283, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 284, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 285, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 286, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 287, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 288, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 289, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 290, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 291, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 292, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 293, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 294, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 295, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 296, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 297, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 298, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 299, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 300, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 301, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 302, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 303, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 304, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 305, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 306, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 307, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 308, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 309, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 310, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 311, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 312, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 313, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 314, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 315, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
