constructing 9 ConvTransformerEncoderLayers
gen: 347, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 348, avg: -15.537678864479066, std: 0.010538343818113355
gen: 349, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 350, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 351, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 352, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 353, avg: -15.537714532852172, std: 0.012133083145036408
gen: 354, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 355, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 356, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 357, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 358, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 359, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 360, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 361, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 362, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 363, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 364, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 365, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 366, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 367, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 368, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 369, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 370, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 371, avg: -15.537768321037293, std: 0.014537962487564749
gen: 372, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 373, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 374, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 375, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 376, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 377, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 378, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 379, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 380, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 381, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 382, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 383, avg: -15.537443161010742, std: 1.8390713477780237e-06
